Code|Subcode|Description
B81C|06|Способы или устройства, специально предназначенные для изготовления или обработки микроструктурных устройств или систем
B82||Нанотехнология
B82B|06|Наноструктуры; их изготовление или обработка
C||Химия; металлургия
C01||Неорганическая химия
C01B|12|Неметаллические элементы; их соединения
C01C|12|Аммиак, циан и их соединения
C01D|12|Соединения щелочных металлов, т.е. лития, натрия, калия, рубидия, цезия или франция
C01F|12|Соединения бериллия, магния, алюминия, кальция, стронция, бария, радия, тория или редкоземельных металлов
C01G|12|Соединения металлов
C02||Обработка воды, промышленных и бытовых сточных вод или отстоя сточных вод
C02F|12|Обработка воды, промышленных и бытовых сточных вод или отстоя сточных вод
C03||Стекло; минеральная и шлаковая вата
C03B|12|Изготовление, формование и последующая обработка
C03C|12|Химический состав стекла, глазурей или эмалей; обработка поверхности стекла; обработка поверхности волокон или нитей из стекла, минералов или шлака; соединение стекла со стеклом или с другими материалами
C04||Цементы; бетон; искусственные камни; керамика; огнеупоры
C04B|12|Известь; магнезия; шлак; цементы; их составы, например строительные растворы, бетон или аналогичные строительные материалы; искусственные камни; керамика
C05||Удобрения; их производство
C05B|12|Фосфорные удобрения
C05C|12|Азотные удобрения
C05D|12|Минеральные удобрения
C05F|12|Органические удобрения
C05G|12|Смеси удобрений, относящихся к разным подклассам класса •C 05·, смеси одного или нескольких удобрений с веществами, не являющимися удобрениями, например пестицидами, веществами, регулирующими почвенный режим, смачивающими реагентами
C06||Взрывчатые вещества; спички
C06B|25|Взрывчатые или термические составы
C06C|25|Детонирующие или воспламенительные устройства; огнепроводные шнуры
C06D|25|Средства для образования дымовых завес или искусственного тумана; боевые отравляющие вещества; получение газа для взрывных целей или создания тяги
C06F|25|Спички; производство спичек
C07||Органическая химия
C07B|13|Общие способы органической химии; устройства для их проведения
C07C|13|Ациклические и карбоциклические соединения
C07D|13|Гетероциклические соединения
C07F|13|Ациклические, карбоциклические или гетероциклические соединения, содержащие прочие элементы, кроме углерода, водорода, галогенов, кислорода, азота, серы, селена или теллура, в сочетании с перечисленными или без них
C07G|13|Соединения неизвестного строения
C07H|13|Сахара; производные сахаров; нуклеозиды; нуклеотиды; нуклеиновые кислоты
C07J|13|Стероиды
C07K|13|Пептиды
C07M|13|Схема кодирования для подклассов С 07В-С 07К,относящихся к специфическим свойствам органических соединений
C08||Органические высокомолекулярные соединения; их получение или химическая обработка; композиции на основе этих соединений
C08B|14|Полисахариды; их производные
C08C|14|Обработка или химическая модификация каучуков
C08F|14|Высокомолекулярные соединения, получаемые реакциями с участием только ненасыщенных углерод-углеродных связей
C08G|14|Высокомолекулярные соединения, получаемые иначе, чем реакциями с участием только ненасыщенных углерод-углеродных связей
C08H|14|Производные природных высокомолекулярных соединений
C08J|14|Переработка; общие способы приготовления композиций; последующая обработка
C08K|14|Использование неорганических или низкомолекулярных органических веществ в качестве компонентов для композиций на основе высокомолекулярных соединений
C08L|14|Композиции высокомолекулярных соединений
C09||Красители; краски; полировальные составы; природные смолы; клеящие вещества; различные вещества и составы; различное использование веществ и составов
C09B|15|Органические красители и родственные соединения для получения красителей; протравы; лаки
C09C|15|Обработка неорганических неволокнистых материалов с целью усиления их пигментирующих или наполняющих свойств
C09D|15|Составы для нанесения покрытий, например краски, масляные или спиртовые лаки; заполняющие пасты; чернила; химические средства для удаления краски или чернил; корректирующие жидкости; средства для морения древесины; пасты или твердые вещества для окрашиван
C09F|15|Природные смолы; политура; высыхающие масла; сиккативы; скипидар
C09G|15|Полировальные составы, кроме политуры; лыжные мази
C09H|15|Производство клея животного происхождения или желатины
C09J|15|Клеящие вещества; способы склеивания вообще
C09K|15|Материалы для различного использования
C10||Нефтяная, газовая и коксохимическая промышленность; технические газы, содержащие оксид углерода; топливо; смазочные материалы; торф
C10B|15|Деструктивная перегонка углеродсодержащих материалов с целью получения газа, кокса, дегтя и подобных продуктов
C10C|15|Переработка дегтя, пека, асфальта, битума; древесный уксус
C10F|15|Сушка и переработка торфа
C10G|15|Крекинг углеводородных масел; производство жидких углеводородных смесей, например путем деструктивной гидрогенизации, олигомеризации, полимеризации
C10H|15|Производство ацетилена мокрыми способами
C10J|15|Производство генераторного газа, водяного газа, синтез-газа или смесей, содержащих эти газы, из твердых углеродсодержащих веществ
C10K|15|Очистка или модификация химического состава горючих газов, содержащих оксид углерода
C10L|15|Виды топлива
C10M|15|Составы смазочных материалов
C10N|15|Схема кодирования для подкласса С10М
C11||Животные и растительные масла; жиры, жировые вещества и воски, получаемые из них жирные кислоты; моющие средства; свечи
C11B|15|Производство
C11C|15|Получение жирных кислот из жиров, масел или восков; свечи; химическая модификация жиров, масел и жирных кислот и продукты, получаемые при этом
C11D|15|Составы моющих средств
C12||Биохимия; пиво; алкогольные напитки; вино; уксус; микробиология; энзимология; получение мутаций; генная инженерия
C12C|16|Пивоварение
C12F|16|Извлечение побочных продуктов сброженных растворов, денатурирование спирта и денатурированный спирт
C12G|16|Вина; прочие алкогольные напитки; их производство
C12H|16|Пастеризация; стерилизация; консервирование; очистка; осветление; старение алкогольных напитков или удаление из них спирта
C12J|16|Уксус и его производство
C12L|16|Машины для осмолки и очистки бочек от смолы; вспомогательные устройства для винных погребов
C12M|16|Устройства для работы с ферментами или микроорганизмами
C12N|16|Микроорганизмы или ферменты; их композиции
C12P|16|Бродильные или ферментативные способы синтеза химических соединений или композиций или разделение рацемической смеси на оптические изомеры
C12Q|16|Способы измерения или испытания, использующие ферменты или микроорганизмы
C12R|16|Схема кодирования для подклассов С12С - С12Q, относящаяся к микроорганизмам
C12S|16|Способы с использованием ферментов или микроорганизмов для выделения, разделения или очистки предварительно полученного соединения или состава
C13||Производство сахара
C13C|16|Резальные машины; диффузионные ножи; прессы для жома
C13D|16|Извлечение и очистка сахарных соков
C13F|16|Получение и обработка сахара-сырца, сахара и сиропа
C13H|16|Машины для распиловки и колки сахара; комбинированные машины для распиливания, колки, сортировки и упаковки готовой продукции
C13J|16|Экстракция сахара из мелассы
C13K|16|Глюкоза; инвертный сахар; лактоза; мальтоза; синтез сахаров путем гидролиза ди- или полисахаридов
C14||Голье; шкуры; шкурки; кожи
C14B|16|Механическая обработка и технология выделки голья, шкур и кож вообще; стригальные машины для меха; машины для двоения и разрезания кишок
C14C|16|Химическая обработка голья, шкур или кож, например дубление, пропитка, отделка; составы для дубления
C21||Металлургия железа
C21B|17|Производство железа, чугуна или стали
C21C|17|Переработка чугуна, например рафинирование, получение сварочного железа и стали
